RID,document
0,내용전개가 너무나 느리다........
0,여군 잼없음 뭐하는건지 ...ㅡㅡ잼없음 엠비씨 다잼없음 질린다이제
0,좋구나
0,"한석규, 김혜수 연기만 돋보인 영화. 어딘지 모르게 많이 어설픈 영화."
0,솔직히 에볼라바이러스가 떠들석해서 보게된영화인데 작품성이나 어떤면에서도 20여년전 영화라고보기엔 믿기힘들정도로 정말 잘만들었다고본다 마지막후반부가 살짝 아쉽긴하지만 이정도면 수작이라고본다 시간이 아깝지않은영화
0,볼만해;
0,재미있다고 허풍 떨지 마세요
0,용가리 진짜짱짱맨이다ㅋ
0,이 영화를 이제서야 보다니.. 감히 내 인생 최고의 영화중 하나로 꼽을 수 있을만한 작품. 어떻게 살아야할지 나를 위한 고민을 한번 더 하게 되는 시간. 그리고 모건 프리먼은 나이가 들어도 여전히 섹시하다.
0,작가가별로다 내용이진짜별로임.. 맨날그냥기대하고 재방송하면 혹시나하고봐줘도 답없다진짜..
0,명작도 이런 명작이 있을까 싶다. 보고 또 봐도 여운이 남는 영화.
0,아~ 진짜 조금만 더 손 좀 보면 왠만한 상업 영화 못지 않게 퀄리티 쩔게 만들어 질 수 있었는데 아쉽네요 그래도 충분히 재미있었습니다 개인적으로 조금만 더 잔인하게 더 자극적으로 노출씬도 화끈하게 했더라면 어땠을까 하는 국산영화라 많이 아낀 듯 보임
0,그만좀 끌고 이제 끝내라. 지겹다 지겨워.
0,아
0,역시 드니로의 연기는 일품 나도 맥스가 샘을 죽이길 바랬다
0,나름 괜찮은 작품입니다
0,"다르덴,이냐리투,차이밍량이 하나도 안섞인채 짬뽕 그릇에 담겨있다."
0,케이블에서 그만 나와줬으면 - -
0,당시의 상황과 주제를 주입식이 아닌 긴장감있고 재밌게 전하는 작품
0,정말재미있고 교훈적인 영화이네요!
0,소재는 흥미를 끌지만 이야기 전개가 투박해서 몰입이 안되는군
0,절대 보지마라 쓰레기 영화
0,"중국인 특유의 과장, 허풍... 있어보이려고 안간힘 쓴 노력은 가상하나, 고증과 현실감 떨어지는 설정이 거북스럽다... 도대체 그들은 왜 이렇게까지 스스로를 과대포장하는 것인지..."
0,그냥 불법체류자 때려잡는 영화면 좋았을텐데...무슨 우상화를 만든다고 미국의 따뜻한 설정...이건 뭥미??
0,2년의 삶속에 주인공의 생애가 전부 드러난 듯 하다.
0,별점10점가자
0,별로다.
0,몬스터 주식회사 3D 재밌게 봤다
0,본지 꽤 지난 후에 남기지만...재미있었음
0,10년이 지나 다시 보게된 영화 .. 다시봐도 그 순수한 사랑에 감동 ㅠㅠ 숀펜의 연기또한 甲
0,올레에 공짜로있길래 봤음 ㅋㅋ 헐 ... 스토리가 문제가아니라 연기자들이 전혀 배역이랑 어울리지않음 그리고 상대배우들하고 다 따로 노는거같음~~ 이건 연기자들도 문제있음 보아는 진심 완전 별로임 라미란하고 아들이 젤 볼만했음
0,아 빵점~
0,베댓이 말을 아주 잘써놨네
0,아주 모자라진 않다.
0,영화 도둑들이나 뫼비우스 하고 같은 나라에서 만들어졌다는게 믿어지냐..?
0,온몸이.. 찌릿..짜릿. 나두 용기를 가져야지!!
0,아니 이게 왜 9점대 일까...;;;
0,매우 실망.....
0,너무 욕심이 많았던 영화. 어느 한 쪽만이라도 제대로 보여줬다면......
0,부패한 로마노프 왕조를 기리는 뭣같은 영화... 온몸으로 항거했던 러시아 민중들이 그저 폭도냐
0,보면서 웃지 않는 건 불가능하다
0,"재미없다 지루하고. 같은 음식 영화인데도 바베트의 만찬하고 넘 차이남....바베트의 만찬은 이야기도 있고 음식 보는재미도 있는데 ; 이건 볼게없다 음식도 별로 안나오고, 핀란드 풍경이라도 구경할랫는데 그것도 별로 안나옴 ㅡㅡ"
0,절대 평범한 영화가 아닌 수작이라는걸 말씀드립니다.
0,주제는 좋은데 중반부터 지루하다
0,다 짤랐을꺼야. 그래서 납득할 수 없었던거야.. 그럴꺼야.. 꼭 그랬던걸꺼야..
0,kl2g 고추를 털어버려야 할텐데
0,카밀라벨 발연기
0,재밋는뎅
0,센스있는 연출력..탁월한 캐스팅..90년대의 향수.. 그래서 9점..
0,엄포스의 위력을 다시 한번 깨닫게 해준 적.남 꽃검사님도 연기 정말 좋았어요! 완전 명품드라마!
0,졸쓰레기 진부하고말도안됌ㅋㅋ 아..시간아까워
0,재밌는데 별점이 왜이리 낮은고
0,1%라도 기대했던 내가 죄인입니다 죄인입니다....
0,아직도 이 드라마는 내인생의 최고!
0,패션에 대한 열정! 안나 윈투어!
0,나름 심오한 뜻도 있는 듯. 그냥 학생이 선생과 놀아나는 영화는 절대 아님
0,"약탈자를 위한 변명, 이라. 저놈들은 착한놈들 절대 아닌걸요."
0,이건 정말 깨알 캐스팅과 질퍽하지않은 산뜻한 내용구성이 잘 버무러진 깨알일드!!♥
0,굿바이 레닌 표절인것은 이해하는데 왜 뒤로 갈수록 재미없어지냐
0,내용전개는 무난한 편이였구 잘 보았습니다 ^^
0,흠...포스터보고 초딩영화줄....오버연기조차 가볍지 않구나
0,너무재밓었다그래서보는것을추천한다
0,교도소 이야기구먼 ..솔직히 재미는 없다..평점 조정
0,사이몬페그의 익살스런 연기가 돋보였던 영화!스파이더맨에서 늙어보이기만 했던 커스틴 던스트가 너무나도 이뻐보였다
0,막 걸음마 뗀 3세부터 초등학교 1학년생인 8살용영화.ㅋㅋㅋ...별반개도 아까움.
0,원작의 긴장감을 제대로 살려내지못했다.
0,키이라 나이틀리가 연기하고자 했던건 대체 정신장애일까 틱장애일까
0,별 반개도 아깝다 욕나온다 이응경 길용우 연기생활이몇년인지..정말 발로해도 그것보단 낫겟다 납치.감금만반복반복..이드라마는 가족도없다 연기못하는사람만모엿네
0,왜케 평점이 낮은건데? 꽤 볼만한데.. 헐리우드식 화려함에만 너무 길들여져 있나?
0,걍인피니트가짱이다.진짜짱이다♥
0,울면서 손들고 횡단보도 건널때 뛰쳐나올뻔 이범수 연기 드럽게못해
0,담백하고 깔끔해서 좋다. 신문기사로만 보다 보면 자꾸 잊어버린다. 그들도 사람이었다는 것을.
0,취향은 존중한다지만 진짜 내생에 극장에서 본 영화중 가장 노잼 노감동임 스토리도 어거지고 감동도 어거지
0,ㄱ냥 매번 긴장되고 재밋음ㅠㅠ
0,참 사람들 웃긴게 바스코가 이기면 락스코라고 까고바비가 이기면 아이돌이라고 깐다.그냥 까고싶어서 안달난것처럼 보인다
0,액션이 없는데도 재미 있는 몇안되는 영화
0,허허...원작가 정신나간 유령이라... 재미있겠네요!
0,볼때마다 눈물나서 죽겠다90년대의 향수자극!!허진호는 감성절제멜로의 달인이다~
0,이 영화가 왜 이렇게 저평가 받는지 모르겠다
0,백봉기 언제나오나요?
0,보는내내 그대로 들어맞는 예측 카리스마 없는 악역
0,불알이 나와서 당황...아무튼 영화가 중간에 끝나는 느낌
0,보던거라 계속보고있는데 전개도 느리고 주인공인 은희는 한두컷 나오면서 소극적인모습에 짜증이 ㅜㅜ 맨날 언제끝나나 기대만하고있어요 전개좀 빨리빨리 ㅜㅜ
0,"사랑하고싶게하는,가슴속온감정을헤집어놓는영화예요정말최고."
0,"많은 사람들이 이 다큐를 보고 우리나라 슬픈 현대사의 한 단면에 대해 깊이 생각하고 사죄하고 바로 잡기 위해 노력했으면 합니다. 말로만 듣던 보도연맹, 그 민간인 학살이 이정도 일 줄이야. 이건 명백한 살인입니다. 살인자들은 다 어디있나요?"
0,"예전 작품 캐릭터, 에피소드 재탕 삼탕 사골우려먹듯 우리고 내용은 산으로 가고 시청률은 아예안나오고 이제 70회중반인데 120부작이라니 ..."
0,김남길의 백점짜리 연기력과 초반 몰입도에도 불구하고 지루하고 손예진 ㅈㅈ
0,재밌네 비슷한 영화를 안보신 분들한테는 재미있을 듯
0,노래실력으로뽑는게 맞냐? 박시환이 mama나가면 진짜 망신이다
0,아 일본영화 다이런건가?? 유치하다
0,이틀만에 다 봤어요 재밌어요 근데 차 안에 물건 넣어 조작하려고 하면 차 안이 열려있다던지 집 안이 활짝 열려서 아무나 들어간다던가 문자를 조작하려고하면 비번이 안 걸려있고 ㅋㅋㅋ 그런 건 억지스러웠는데 그래도 내용 자체는 좋았어요
0,졸작
0,재밋네요 달팽이가 빨라서 더 재밌었어요
0,포스터는 있어보이는데 관객은 114명이네
0,심심한영화.
0,너무 충격적이엇다. 기분을 완전히 푹 꺼지게 하는 느낌... 활력이라고는 하나도 없는 너무나도 무거운....지독하고 차갑고 무자비하다. 그저 일본인들의 상상력은 정말 대단한거 같다는 생각이 든다.
0,평범함속에 녹아든 평범한 일상. 조금 밋밋한게 흠.
0,전 좋아요
0,단순하면서 은은한 매력의 영화
0,다 알바생인가 내용도 없고 무서운거도 없고 웃긴거도 하나도 없음 완전 별싱거운 영화.ㅇ.ㅇ내ㅇ시간 넘 아까움 .. . 완전 낚임
0,오게두어라! 서리한이 굶주렸다!
0,최고
0,윤제문이라는 멋진 배우를 발견하게 됐어요. 소소한 일탈이 잔잔한 미소를 머금게 합니다. 음악은 조금 아쉽네요ㅠㅠ 8점 주고 싶은데 평점 올리고 싶어 10점 줄게요^^
0,평점에속지마시길시간낭비 돈낭비임
0,리얼리티가 뛰어나긴 한데 큰 공감은 안간다. 이민기캐릭터는 정신의학상 분노조절장애 초기 증상일거다. 툭하면 사람패고 욕하고 물건 파손하고.. 조금 오바였음. 극 초반엔 신선했는데 가면 갈수록 이민기 정신상태 공감불가.
0,마이너스는 왜없냐 ㅋ 뮤비 보고 영화수준 딱 알만하더군 ㅉㅉ 북한에서 이런거 만들라고 돈 대주던?
0,난 우리영화를 사랑합니다....^^;
0,정말 맘에 들어요. 그래서 또 보고싶은데 또 보는 방법이 없네? >.. ㅜㅡ
0,영화가 사람의 영혼을 어루만져 줄 수도 있군요 거친 세상사를 잠시 잊고 동화같은 영화에 행복했네요
0,재미있어요
0,"데너리스 타르 가르엔...나도 용의주인이 되고 싶다...누이랑,근친상간이나 하고 다닐지라도,소설 속에선 제일 멋진 놈이 자이메 라니스터였는데,드라마속에선,드래곤(용)이 제일 멋지네(웃음)감독님 토르-2 다크 월드는 말아 잡수셨을지라도,기본 선방은 했음"
0,"난또 저 꼬마애가 무슨 원한이 깊길래.,. 했더니 OO 그냥 혼자 나대다 OO걸 어쩌라고."
0,이렇게 가슴시리게 본 드라마가 또 있을까? 감동 그 자체!
0,어설픈 전개 어이없는 결말
0,야 세르게이! 작은고추의 매운맛을 보여주마! 포퐁저그 콩진호가 간다
1,장끌로드의 몰락을 가져온 오우삼 헐리우드 작품중 가장 재미없었던 졸작
1,강수연의 나가있어~!그리고 최정원의 신음신~
1,새벽시간에 하는 일본 영화들은 전부 개졸작이다.일본영화원래 다이래??
1,가발 쓰고 싶다
1,이건 말이 필요 없다 그냥 닥치고 봐라
1,각기 다른 사람들의 재밌고 멋진 사랑영화
1,역시 미국드라마의 파워. 정말 알수없는 그 미묘함까지 사로잡아버렸다 최고!!
1,너무너무 훈훈하네요^^
1,이거 응답하라에서 은지원원도 스스로 욕하지 않앗나? ㅋㅋㅋㅋ
1,아..정말 김혜성 너무 예쁘네요 이현진도 웃는 거 정말...하....
1,아 너무 웃기고 배꼽 빠질뻔했네^^ 내 컴에 이 영화 있는데^^
1,구성이 상당히 부실한 영화. 역시 네이버 평점은 믿을수 없다.
1,감동적인 영화
1,10대들을 위한 성적 호기심 영화?
1,화려한여정이인상깊어요ㅋㅋ재밋어요ㅋㅋ배두나연기정말잘해요ㅋ
1,너무 좋은 영화
2,신나는 흑인음악과 아이스 큐브 뿐 남는게 없다
2,더럽게 재미없다 어떤 형태로도 와 닿지 않는 허무하고 완벽히 지루한 영화고 영양가 하나도 없는 영화다
2,진심 재미 없는데 너무 평점 높아서 화남;
2,작은거 하나에도 설레어했던 학창시절 그때 그느낌을 다시 느껴볼수있는시간이었다. 장면 하나 하나 대사 하나 하나 배경음악 하나 하나 버릴게 없는 드라마.
2,언제적 영웅본색 연출인지 현실성 제로인 영화
2,드럽게 재미없네 시간이 돈이다? 내 시간은 어쩔건데
2,그저 한마디뿐 '알리시아'
2,진짜 생생하게 느낄 수 있었다
2,드라마 너무 재밓당
2,이승기 정말 연기 잘하는.. 조연들도 연기 정말 잘하고
2,아진짜너무좋아요ㅜㅜ짱짱!!!
2,연기 굿
2,이런 영화 다시는 안나오겠지..그때 시절을 잘나타내주었던거같아요 ㅎㅎ
2,중간정도 부터 봤는데도 꽤나 대단하군요...
2,콩은 까야 제맛 콩은 까야 제맛
2,이적의 소설. 재미없다.
2,옥소리 프로필 사진에 1점남기고 갑니다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ완전 대박이다 진짜 아우 짜증나!
2,이영화는.제발 책을보세여.감독이 미친겁니다.이따위로 만들어놓고.화가 날정도 ㅡㅡ
2,"현실은 꿈, 꿈은 현실"
2,판의미로와 동급 trash of the trash
2,엄마는 무고한 지 딸을 감옥살이 시켜시켜? 이해 안돼요
2,감각적인..시각으로...바라보는..색다른...느낌의...사랑...문학적이
2,세계최초의 반공 애니매이션이라는 역사적 가치가 있다.
2,푸하하하 이거 기대 안했지만.. 역시나 구만..ㅋ
2,한물 간 동서양 두 배우의 싸움판.
2,한대희가 개그콘서트본다고 내전화끊음개그콘서트 없애주세요 ㅡㅡ
2,일본에서10주년 극장판만드는데 우리나라에선 10주년으로 재개봉하니이건 좀 ㅄ 아님?
2,"좀 어렵기도 하고, 전쟁에 대한 묘사가... 잘 모르겠다."
2,어떻게 이런 상상을 대단하다.
2,"정치인의 모순인가, 정치범의 모순인가...."
2,이시간좀...밝고긍정적인드라마보고싶어서..보긴보는데....오버하는연기들이거슬리네요...연기인게너무표나요....홍혜정역이그나마도후련기도하고시원하고.....나머진다들답답하네요...낼월요일인데...해피한것만보고싶네요....
2,하..진짜 댓글보고 한번쯤볼만한 영화인거같아서봤지만 기가찬다..이게무슨버킷리스트인가! 죽기직전에 소원들어주기? 내가보기엔 죽기직전에 막 살자 인거같다. 감동도없고.. 진짜 '버킷리스트' 란 영화에 발톱에 때만큼도 못따라가는쓰레기영화.. 완존실망..
2,일단 재생하면 괴물같은 서스펜스 귀신같은 흡입력
2,1996년 그때 당시에는 우리 나라에 이런 판타지 로맨스가 없었다... 아직도 신현준의 황장군 연기는 음... 괜찮네... ㅎㅎ....한석규의 전성시대가 열린 영화.... 이때 한석규한테 뿅 갔었다~~♥
2,코믹한건 좋았는데 짜임새가 너무 허술하다
2,영화를 보는것만으로도 마음의 휴가를 다녀온 느낌.소박하지고 잔잔하지만 지루하지않은..그래서 다시 보고싶은 영화.햇살가득한 비이의 부엌과 요리도 인상적
2,제대하고 보니까 더 재밌네요 ㅋㅋㅋㅋ
2,오늘 현충일특집프로로 보게되었습니다 1963년도의 매우 훌륭한 작품입니다
2,재밌는데 평점이 이상하다 싶을 정도로 낮다.
2,뭔가알수없는매력에빠져드는 영화
2,재밌는데 평점이 왜 이렇게 구리지
2,정말 실망 스러웟음..
2,액션영화가 아니다.범죄 느와르 영화다. 허나 범죄 느와르 영화로서도 실패작.......
2,"아이의 시선으로 보는 전쟁.., 보는 내내 가슴이 먹먹했다는..."
2,망함
2,이게 웃겨?
2,정은지 언니!! 연기 잘하구..노래도 잘부르시고! 마지막회 웃으면서 즐겁게! 봤습니다! 트로트의 연인!♥
2,12년 전에 봐서 기억이 나질 않지만 진개가(천카이거) 감독 이름 세 자는 기억해 두었던.
2,정말 말 그대로 '쇼'하는 영화..
2,모든게 2%씩 다 부족했다...아니..50%씩...
2,이게 2편이 나왔어???
2,좋은영화
2,OOO영화 뭘전달하려는지모르겠네 오글거리고
2,"완전 스토리도 엉망이구, 완전 비추..ㅜ"
2,"3점이 딱.... 액션,스릴러인데 액션과 스릴이 없다."
2,남주인공 연기력 안습이네요... 혀짧은 소리 듣기도 너무 힘들었네요 매니저역활분이 남주인공하는게 훨 좋았겠다는 생각이 들정도... 영화 자체는 적당히 볼 만 합니다 ^^
2,영화 재미있드만.. ㅎㅎ
2,또보고 싶은데 어디서 보죠???
2,필름값이 아깝다..재미 더럽게없다..2점부터 점수준것들 매미 OO
2,아 OOO기.. 이걸 본 내눈이 아깝다 ㅡㅡ 진짜 아놔 진짜 OOO기명작이네요
2,......더빙이 이상해요.....할머니는 월래익숙한 ㄷㅔ.....
2,모녀를 토막살해한 살인자가 부성애라니.... 말이되나... 감동받은 사람들 본인들이 피해자가 되도 감동받았다고 할수있을까... 진심 묻고싶습니다...
3,이런 영화는 하나의 개연성만 없어도 허무하게 만들어 버린다. 조디포스터의 이쁜 모습만 남을 영화.
3,배우들은 지네들 안뜨니까 이런영화 찍을껀데??? 왜 안뜨는지 진짜 모르는거야? 면상 딱 보면 알겠구만... 왜 지네 자신들은 모를까?
3,또 보고 또 울.었.다..
3,전미 박스 오피스1위 ㅋㅋ 그냥 몰아주기 하는건가 어떻게 이런영화가 1위를 하지 옛날 80~90년대 우뢰매수준의 물폭탄싸움이네 ㅋㅋ 손에서 빔나가나 손에서 물폭탄 나가나 다를게 뭐지?
3,"사람들이 재미없다고 해서 레알 기대 안했는데 생각보다 볼만함. 근데 여자애랑 복순이랑 다투는 장면? 그건 굳이 없어도 됐다고 생각함 몰입도 겁나 없애고, 어색해보였음"
3,설정이 연속극같은 느낌이 든다. 하지만 배우들의 연기가 뛰어나다.
3,여주인공 인터뷰할때 지루해죽는줄알았음 ㅡㅡ 그냥저냥 킬링타임용 스릴러
3,감독이 여자다보니 기량이 많이 딸리네
4,어린이가 좋아할듯...내어릴적 동심은 멀리 떠낫나보다.
4,ㅠㅠ 슬픔
4,나이들수록 이해가 가는 영화
4,시베리아인가 거기가서 훈련할때나오는 ost 개작살
4,맛깔 나는 드라마.
4,평점이 너무 높다. 전혀 재미있지 않았다. 쓸데없이 말만 많음. 이런 류의 영화는 조연들의 뒷받침이 중요한데 조연들의 내용자체가 전혀 없음. 또한 여배우도 별로 매력 없었다. 이틀전에 저스트고위드잇의 애니스톤을 보고 이 영화를 봐서 그런가. 실망했음
4,네놈을 살려두기엔 쌀이 아까워! 세기의 명대사
4,스토리도 말이 안되고 개막장 사랑이야기도 아니예요 이걸보고계신다면 당신의 시간과돈을 아낀거예요^.^휴 그래도 본다면 호구
4,굳굳
4,이건 시종일관 질~~질왜? 제목이 야경꾼 일지냐고 지금 10회가 넘어가는데 즉 2달이 넘어가는데. 앞에서 누군가가 얘기 하더만 이거 100부작이냐고 그러다 또 한 순간에 모든걸 훅진짜 지루함의 지존
5,장면 개연성도 없고 아역은 연기도 못하고 무슨 추노에 나오는 민폐언년 외국판인줄....초반만 그럴싸한 저급영화
5,이 영화 정말 별루예요. 결말이 이상해요....
5,송강호는 정말 연기를 하기위해 태어났고 그로인해 우리는 즐거움을 느낀다 역시 송강호는 연기파다.
5,일본영화 수입 금지 시절에도 비디오 테이프로 돌려봤던 불후의 명작 아 그립다
5,살인을 소재로 한 영화가 이토록 재밌을 줄이야. 살인에 대한 감독의 해석이 정말 재치있다. 대 배우님들의 10여년전 모습도 새롭웠고. ㅋ. 정말 유쾌하고 재밌다.
5,누미 라파스 신봉선 닮아서 안 본다
5,케이블에서 그만 좀 재탕해라.
5,"멋졌다. 정말이지, 멋지다는 말 이외엔 할 말이 없다."
5,딱히 재미는 없네요 킁;;
5,무술인이 왜 총을드나?
6,2009년에 만들어진것치곤 재밌음 영화가 길어서 좀 다듬었으면 ..소재도 좋고 몰입감도 기대이상 매끄럽지 못한 부분도 있지만 연기는 둘 다 잘한듯
6,처ㅝ주
6,10점
6,영상이 너무나도 멋지다.
6,98년에 어떻게 이런영화가 만들어졌는지 의문.. 당대 최고의 영화 지금봐도 퀄에서 결코 떨어지지 않아요
6,지금 이거 티비로 돈내고 보고있는 내가한심하다
6,쓰레기 연예인 재기의 장~~그러나...
6,굿 좋아
6,많은 감동을 준 드라마이다.
6,발로만든영화. 지진나서 주인공 넘어지는데 뒤로 사람들 유유히 걸어다니고 있음. 발CG + 발연기 + 발시나리오.... 내용도 정말 뭐같음 ㅋㅋㅋ
6,적당히 해야지 언제 끝나는것인가?
6,잊을 수 없는 안개낀 워터루 다리와 마스코트.
6,곤사토시 감독... 2010년 안타깝게 돌아가셔서 가슴이 먹먹합니다.. 정말 천재적인 감독인데 암으로 가시다니.. ㅠㅠ 이제와서 다시봐도 모든 작품이 대작...
6,많은생각을 하게 됐습니다. 예뼈지고 싶은 맘은 있었지만 과하면 독이겠네요. ^^
6,아 츠무구만 없어지면 별 5개줄게
6,어릴땐 조폭영화로 알다가 나이가들수록 이게 인생이구나 하고 뭉클해지는 영화.세상을 살아가면 갈수록 와닿는게 많아지네요...세상은 비정하지만 비정함마져도 따뜻해지는게 친구라고...
6,감독의 의도를 전혀 알아차리지 못했다.
6,안습
6,비디오가 있어서 봤는데 1997년도인줄모를정도로 잘만들었습니다 긴장감도있고
6,여자애 한명이잘 못해서몇명이죽는거야ㅋㅋ답도없다ㅋ
6,한창 핵펭귄이 남북 거짓평화로 전국민을 속이던때 만들어진 영화
6,관객수가 너무 아쉬운 영화...베테랑보다도 더 류승완감독의 역작이고 더 강한악역이다
6,예술가로써의 한 사람의 인생과당시 시대적 상황을 질 느낄 수 있었던 명작
6,"신선하네..,,..,,.."
6,줄리아로버츠 귀여운연인은 이거보다 5년전꺼다 ...
6,좋은 의도와는 다르게 불쾌한 표현법
6,최악의 애니메이션.. 지루하고 재미없고 스토리마저 진부하다
6,지금 티비에서 하는데.. 못 보겠다..
6,0점은 못주냐??
6,아 지대짜증 아빠랑 봣는데 민망해 죽는줄
6,고다미 괜찮음
6,심심해서봤는데 재밌네요 탑연기 못할줄알았는데배우포스나고 잘하군요
6,군더더기 없이 잘 진행되는데 재미도 없는게 문제
6,"철지난 조폭 코미디와 뼈대 있는 가문의 이야기를 섞었지만, 둘 다 지루하다. 박정아를 비롯해 배우들은 보기 민망한 연기를 펼치고, 기억에 남는 건 하나도 없다."
6,빠순이 영화 ㅋㅋㅋㅋㅋㅋㅋ 훈훈하긔 재밋쎠
6,성룡의 헐리웃작 중 단연 최고지 ㅋㅋㅋ
7,잔인하기도 하고 무서웠어요ㅠ탑은 멋있더라구요~~
7,군더더기 없는 깔끔한 그러나 강한 메세지 전달. 뜻밖의 참좋은 영화..!
7,무섭지도 않고 기분만 나쁘고 쩝
7,완전재미있어요.애들도보기에알맞는듯
7,학위위조성범죄자 문제자들만 모아서 영화찍음 왜그랬으까 제작비 아끼려구 패자부활전 하냐?
7,하나님이가정을온전히만든다. 진리이신분이만든영화. 눈으로만보지말고마음으로봐라.
7,2편도 나름 흥미진진한데 핀헤드가 죽은게 좀 아쉬운 점이랄까?
7,국산 코미디영화중에서 난 신라의달밤이 제일좋았음뭔가 푸근하고 따뜻함..
7,최악이다 영화보다가 잠오긴첨임 지루해둑을뻔
7,탄탄한 !~배우들 될고 ~머하는 건지~~~~~~~~~~~
7,영화가 점점 끝을 달려갈수록 몰입도가 더 높아진 영화는 이번이 처음이네요.
7,결국 감독 자신이 하고 싶은 의견을 지존파 핑계삼아 하려고 한듯. 지존파 살인은 정당화하고 정부탓이 였다는.사회탓이라는.
7,"사실여부를 떠나,알고왔던 아더와 너무 매칭이 안돼더라.원탁기사중 실제 검술 최고수는 랜슬롯으로 알고 있는데,트리스탄보다 못하고,싸우는 검술은 마치 중국검술 흉내낸거 같은게;; 그리고 란슬롯이 실제는 쌍검였나?너무 매칭이 안대 하튼 ㅋ기네비어역도 미스."
7,0점은 없나??
7,재밌는데
7,재미없다... 기대 완전 했는데.... 완전 못함!!! 실망....
7,종착역 없는 인생의 대유. 트레비스는 단지 흘러간다.
7,돈과 시간이 아까운 영화
7,네러티브는 하나도 없는 예쁜 음악 동영상. 취미로 영화만드는 것은 이걸로 끝나길 . 잘하는 음악에 올인하길.
7,배우들의 연기는 좋았는데.. 뭘 말 하려는 건지?
7,솔직히
7,대한민국 영화 수준의 평균치를 하락시키기에 충분한 C급 영상물
7,그랜드 부다페스트 호텔과 시리즈 같네.. 캐스팅이 아까워~
7,도대체 뭐가 재밌다는건지 모르겠네요 무슨 아이언맨 시리즈의 개그도 뛰어넘는다 하는데 어디서 웃어야할지도 모르겠고 내용도 뭔지 뜬금없는 히어로놀이는 또 뭔지.. 왜이렇게 평점이 높은지 모르겠습니다
7,왜 극을 끌어가는 중심있는 캐릭터가 있어야 하는지 알게 된영화 살인마와 대적하는 그리고 사건을 해결하는 인물이 없고 그리고 왜 마지막에 다 탈출 해놓고 나서 잡히고 죽임을 당하는지 이해할수가 없다. 대체 조달환 정유미는 왜 나옴?
7,크리스토퍼왈츠와 타란티노의 조합이란 ㅠㅠ
7,빨리감기해서 봤음...투자비는 많이 들었을 것 같은데...영화사 망했네~ㅎ
7,이 영화는 최고다. 그냥 최고야 그런 줄 알아
8,진 짜 리얼 개 쓰레기 영화 . 다 보고 나면 정말 찝찝해지는 영화 절대보지마
8,비록 로봇이지만 점차 인간의 감정을 가지고 자신에 대해 고민하면서 결국 인간이 되어 죽는 앤드류의 모습내가 봤던 영화 중에서도 최고의 감동을 선사한 영화
8,영구와땡칠이시리즈는 레전드영화다
8,초딩 때 친척형이 비디오로 빌려와서 봤던 기억이 난다...너무 재미 없었다 근데 나중에 우연히 다시보니 재밌더라 그 땐 왜 그렇게 재미가 없었을까?? 98년이면 내가 초등학교 2학년 때니까...사촌형이 당시 나름 최신 비디오를 빌려온거 같다
